model,accuracy,precision,recall,f1,auc,auc_lo,auc_hi
LogisticRegression,0.8430272341590256,0.8704545454545455,0.8690719310188336,0.8697626887702964,0.9148763331064215,0.9082747766918303,0.9214422785219077
RandomForest,0.8936636102367592,0.8997797356828194,0.9269344225096438,0.9131552475690176,0.9598294249743747,0.9557240989515229,0.9637496851204009
