model,accuracy,precision,recall,f1,auc,auc_lo,auc_hi
LogisticRegression,0.9375940878609552,0.9565128205128205,0.9502751171795394,0.9533837661010018,0.9813044290469397,0.9787710006032101,0.9837461445404394
RandomForest,0.9486793485698645,0.9622603019175846,0.9612798043611168,0.9617698032419207,0.9890097479790775,0.9873199893982401,0.9906224148844766
